;time;temperature;windvelocity;precipitation
0;2005-07-15;   -999;-999;   1.8
1;2005-07-16;   -999;-999;  -999
2;2005-07-17;   -999;-999;   0.0
3;2005-07-18;   22.4;-999;   0.7
4;2005-07-19;   19.8;-999;   3.3
5;2005-07-20;   17.9;-999;   1.5
6;2005-07-21;   17.5;-999;   0.1
7;2005-07-22;   16.1;-999;   1.2
8;2005-07-23;   17.0;-999;   0.0
9;2005-07-24;   17.7;-999;   5.4
10;2005-07-25;   20.3;-999;   2.3
11;2005-07-26;   20.0;-999;   2.2
12;2005-07-27;   23.8;-999;   0.5
13;2005-07-28;   26.2;-999;   1.6
14;2005-07-29;   22.4;-999;   7.7
15;2005-07-30;   20.1;-999;   0.0
16;2005-07-31;   18.5;-999;   0.0
17;2005-08-01;   18.5;-999;   0.5
18;2005-08-02;   18.2;-999;   0.0
19;2005-08-03;   19.7;-999;   0.1
20;2005-08-04;   17.7;-999;   0.0
21;2005-08-05;   16.3;-999;   1.0
22;2005-08-06;   16.2;-999;   3.4
23;2005-08-07;   14.2;-999;   1.3
24;2005-08-08;   14.4;-999;   1.6
25;2005-08-09;   15.5;-999;   0.0
26;2005-08-10;   14.9;-999;   0.0
27;2005-08-11;   15.5;-999;   0.0
28;2005-08-12;   17.3;-999;   3.2
29;2005-08-13;   16.5;-999;   0.3
30;2005-08-14;   14.7;-999;  12.5
31;2005-08-15;   15.9;-999;   2.6
32;2005-08-16;   18.2;-999;   0.0
33;2005-08-17;   18.8;-999;   0.0
34;2005-08-18;   21.6;-999;   0.0
35;2005-08-19;   20.7;-999;  23.8
36;2005-08-20;   19.0;-999;  -999
37;2005-08-21;   -999;-999;  -999
38;2005-08-22;   -999;-999;   0.4
39;2005-08-23;   19.3;-999;   0.0
40;2005-08-24;   18.9;-999;   0.1
41;2005-08-25;   16.2;-999;   3.8
42;2005-08-26;   15.5;-999;  -999
43;2005-08-28;   -999;-999;  -999
44;2005-08-29;   -999;-999;   0.0
45;2005-08-30;   20.8;-999;   0.0
46;2005-08-31;   21.5;-999;   0.0
47;2005-09-01;   22.4;-999;   0.0
48;2005-09-02;   21.6;-999;   0.0
49;2005-09-03;   21.1;-999;   0.0
50;2005-09-04;   19.8;-999;   0.0
51;2005-09-05;   19.4;-999;   0.0
52;2005-09-06;   20.3;-999;   0.0
53;2005-09-07;   20.8;-999;   0.0
54;2005-09-08;   21.0;-999;   0.0
55;2005-09-09;   21.0;-999;   0.1
56;2005-09-10;   19.7;-999;   2.4
57;2005-09-11;   17.9;-999;  16.5
58;2005-09-12;   16.9;-999;   1.2
59;2005-09-13;   15.8;-999;   0.0
60;2005-09-14;   16.7;-999;   0.0
61;2005-09-15;   19.7;-999;   7.3
62;2005-09-16;   14.8;-999;   6.5
63;2005-09-17;   10.7;-999;   0.0
64;2005-09-18;   11.1;-999;   0.0
65;2005-09-19;   12.3;-999;   0.0
66;2005-09-20;   11.0;-999;   0.0
67;2005-09-21;   11.9;-999;  -999
68;2005-09-22;   12.5;-999;   0.0
69;2005-09-23;   -999;-999;  -999
70;2005-09-25;   -999;-999;  -999
71;2005-09-26;   17.5;-999;   0.0
72;2005-09-27;   15.7;-999;   1.0
73;2005-09-28;   14.6;-999;   2.3
74;2005-09-29;   12.4;-999;   2.6
75;2005-09-30;   11.9;-999;   0.6
76;2005-10-01;   11.9;-999;  24.8
77;2005-10-02;   10.5;-999;   0.0
78;2005-10-03;   11.5;-999;   0.0
79;2005-10-04;   15.2;-999;   0.0
80;2005-10-05;   15.8;-999;   0.0
81;2005-10-06;   15.5;-999;   0.0
82;2005-10-07;   13.6;-999;   0.0
83;2005-10-08;   11.8;-999;   0.0
84;2005-10-09;   11.8;-999;   0.0
85;2005-10-10;   -999;-999;  -999
86;2005-10-11;   -999;-999;   0.0
87;2005-10-12;   11.6;-999;   0.0
88;2005-10-13;   10.0;-999;   0.0
89;2005-10-14;    9.6;-999;   0.0
90;2005-10-15;    9.6;-999;   0.0
91;2005-10-16;    9.9;-999;   0.0
92;2005-10-17;    7.9;-999;   0.0
93;2005-10-18;    7.2;-999;   0.0
94;2005-10-19;    6.3;-999;   2.8
95;2005-10-20;   10.1;-999;   0.8
96;2005-10-21;   13.8;-999;   1.0
97;2005-10-22;   16.3;-999;   2.2
98;2005-10-23;   13.3;-999;   0.2
99;2005-10-24;   12.3;-999;   0.1
100;2005-10-25;   -999;-999;  -999
101;2005-10-26;   -999;-999;   0.0
102;2005-10-27;   13.7;-999;   0.0
103;2005-10-28;   12.5;-999;   0.0
104;2005-10-29;   12.0;-999;   0.0
105;2005-10-30;   10.7;-999;   0.0
106;2005-10-31;    9.9;-999;   0.0
107;2005-11-01;   10.6;-999;   4.2
108;2005-11-02;    9.7;-999;   1.4
109;2005-11-03;   14.2;-999;   0.0
110;2005-11-04;   12.6;-999;   6.1
111;2005-11-05;   10.6;-999;   0.0
112;2005-11-06;    8.1;-999;   0.0
113;2005-11-07;    6.8;-999;   0.0
114;2005-11-08;    9.4;-999;   0.0
115;2005-11-09;    6.6;-999;   0.0
116;2005-11-10;    7.3;-999;   0.5
117;2005-11-11;    8.7;-999;   0.0
118;2005-11-12;    8.0;-999;   0.0
119;2005-11-13;    8.0;-999;   0.0
120;2005-11-14;    5.9;-999;   0.0
121;2005-11-15;    4.5;-999;   3.6
122;2005-11-16;    5.8;-999;   2.3
123;2005-11-17;   -999;-999;   0.3
124;2005-11-18;    3.3;-999;   0.2
125;2005-11-19;   -0.7;-999;   0.0
126;2005-11-20;    1.2;-999;   0.1
127;2005-11-21;    3.3;-999;   0.5
128;2005-11-22;    0.8;-999;   0.0
129;2005-11-23;    2.5;-999;   0.0
130;2005-11-24;    0.7;-999;   5.2
131;2005-11-25;    0.3;-999;   0.0
132;2005-11-26;    1.7;-999;   0.1
133;2005-11-27;    1.5;-999;   1.1
134;2005-11-28;    1.9;-999;   0.9
135;2005-11-29;    2.2;-999;   0.0
136;2005-11-30;    1.0;-999;   0.0
137;2005-12-01;    0.8;-999;   0.0
138;2005-12-02;   -0.7;-999;   0.0
139;2005-12-03;    3.6;-999;   3.0
140;2005-12-04;    7.7;-999;  14.4
141;2005-12-05;    6.4;-999;   0.5
142;2005-12-06;    4.3;-999;   0.2
143;2005-12-07;    4.1;-999;   0.4
144;2005-12-08;    4.3;-999;   0.3
145;2005-12-09;    3.0;-999;   0.0
146;2005-12-10;   -0.8;-999;   0.0
147;2005-12-11;   -1.8;-999;   0.0
148;2005-12-12;    2.1;-999;   0.0
149;2005-12-13;    2.4;-999;   0.0
150;2005-12-14;    3.2;-999;   0.4
151;2005-12-15;    4.6;-999;   2.9
152;2005-12-16;    5.9;-999;   1.7
153;2005-12-17;    1.1;-999;   1.4
154;2005-12-18;    0.6;-999;   0.6
155;2005-12-19;    0.9;-999;   0.9
156;2005-12-20;    2.4;-999;   0.0
157;2005-12-21;    2.1;-999;   0.1
158;2005-12-22;    1.6;-999;   5.0
159;2005-12-23;    3.8;-999;   0.0
160;2005-12-24;    5.2;-999;   0.0
161;2005-12-25;    2.6;-999;   1.7
162;2005-12-26;    0.5;-999;   5.8
163;2005-12-27;   -1.5;-999;   2.0
164;2005-12-28;   -2.4;-999;   0.3
165;2005-12-29;   -3.3;-999;   0.5
166;2005-12-30;   -3.0;-999;   3.7
167;2005-12-31;    1.3;-999;   2.2
168;2006-01-01;    3.9;   2.1;   0.3
169;2006-01-02;    3.3;   1.7;   0.0
170;2006-01-03;    2.0;   1.4;   0.0
171;2006-01-04;   -1.1;   1.7;   0.0
172;2006-01-05;    1.7;   2.7;   0.0
173;2006-01-06;    2.7;   1.8;   0.0
174;2006-01-07;    3.0;   1.8;   0.0
175;2006-01-08;    1.7;   1.8;   0.0
176;2006-01-09;   -3.0;   1.4;   0.0
177;2006-01-10;   -2.1;   1.6;   0.0
178;2006-01-11;   -2.9;   2.0;   2.5
179;2006-01-12;   -0.2;   1.0;   0.0
180;2006-01-13;   -1.8;   1.3;   0.0
181;2006-01-14;   -4.3;   1.8;   0.0
182;2006-01-15;   -4.3;   2.3;   0.0
183;2006-01-16;   -5.3;   1.5;   1.4
184;2006-01-17;   -0.6;   2.9;   9.5
185;2006-01-18;    2.8;   2.9;   0.2
186;2006-01-19;    0.6;   1.3;   0.2
187;2006-01-20;    3.9;   3.0;   5.2
188;2006-01-21;    4.3;   4.3;   0.6
189;2006-01-22;   -0.6;   2.7;   0.0
190;2006-01-23;   -5.6;   2.2;   0.0
191;2006-01-24;   -5.6;   1.3;   0.0
192;2006-01-25;   -3.6;   1.8;   3.1
193;2006-01-26;   -3.4;   2.8;   0.0
194;2006-01-27;   -5.1;   2.6;   0.0
195;2006-01-28;   -3.8;   2.5;   0.0
196;2006-01-29;   -1.8;   2.4;   0.0
197;2006-01-30;   -2.4;   2.3;   0.0
198;2006-01-31;   -1.7;   1.9;   0.0
199;2006-02-01;   -4.8;   1.0;   0.0
